№партии,к стали,с подплавл,в нахлест
п100518,33.0,32.0,32.5
п100518,32.8,32.3,33.6
п100518,31.4,30.4,31.1
п100518,30.4,29.6,31.2
п130518,34.8,34.1,35.0
п100518,31.0,30.4,30.8
п010618,32.9,31.1,31.8
п010618,36.9,36.0,36.7
п010618,33.3,33.0,33.1
п010618,32.3,30.6,33.5
п060718,34.7,33.8,35.1
п060718,32.2,31.8,32.5
п060718,32.4,31.2,32.9
п140718,34.7,32.5,34.9
п140718,33.9,32.4,34.5
п060718,31.1,30.9,30.5
п020818,31.0,30.8,31.8
п020818,39.3,39.9,40.0
п020818,39.4,38.9,39.8
п020818,31.8,31.1,32.0
п020818,31.8,31.0,31.4
п160818,33.9,33.3,34.4
п020818,31.6,31.3,32.1
п010918,31.7,30.1,32.3
п010918,31.3,30.9,31.8
п010918,31.9,31.4,32.5
п010918,30.1,30.0,30.3
п010918,30.9,30.3,30.8
п120918,34.0,33.3,34.3
п010918,32.1,31.9,32.3
п111018,30.9,30.1,31.4
п111018,31.2,30.7,31.8
п030119(10.01.19),30.4,29.8,30.2
п030119(14.01.19),31.2,30.1,31.8
п030319(06.03.19),30.4,29.6,31.2
п030319(25.03.19),34.4,32.8,35.0
п030319(26.03.19),34.8,32.7,34.9
п030319(28.03.19),34.4,33.9,35.0
п010419(01.04.19),34.5,33.8,35.0
п010419(02.04.19),34.8,33.6,35.1
п010419(03.04.19),34.0,33.6,34.7
п010419(09.04.19),32.2,31.9,32.4
п010419(14.04.19),32.8,32.5,33.6
п010419(15.04.19),33.5,32.8,33.8
п010419(26.04.19),36.1,35.8,36.3
п010419(27.04.19),30.3,29,30.7
п010519(02.05.19),31.2,30.4,31.8
п010519(06.05.19),31.4,30.4,31.0
п010519(07.05.19),31.5,30.6,31.3
п010519(21.05.19),28.9,28.1,29.1
п010519(26.05.19),29.8,29.2,30.0
п010519(29.05.19),29.7,28.9,30.0
п050619(06.06.19),29.9,28.7,30.4
п050619(10.06.19),30.0,28.8,30.4
п050619(18.06.19),30.4,28.8,29.6
п050619(25.06.19),29.6,28.9,30.0
п050619(27.06.19),30.1,28.9,30.8
п050619(28.06.19),30.5,29,30.7
п030719(03.07.19),29.8,28.9,30.0
п030719(10.07.19),30.8,28.9,31.0
п030719(11.07.19),29.8,28.4,30.6
п030719(16.07.19),30.5,28.8,31.0
п030719(19.07.19),30.9,29.8,31.6
п030719(23.07.19),31.5,30.6,31.8
п030719(24.07.19),31.7,30.6,32.4
п030719(25.07.19),31.3,30,31.9
п030719(29.07.19),31.9,31.3,32.5
п050819(09.08.19),32.7,28.9,32.1
п050819(15.08.19),32.0,30,32.3
п050819(16.08.19),31.6,29.9,31.8
п050819(19.08.19),31.1,30.4,31.3
п050819(22.08.19),33.3,32,34.8
п020919(03.09.19),32.0,31.8,33.0
п020919(04.09.19),32.8,32,33.6
п020919(09.09.19),33.0,32.2,33.8
п020919(10.09.19),32.4,31.8,32.8
п051019(02.10.19),32.0,31.2,32.8
п091119(25.11.19),30.8,NaN,29.9
