Полугодие,Уровень привлечения новых потребителей по полугодиям в %
2012, 29.6
2013, 41.2
2014, 25.2
2015, 32.3
2016, 28.03
2017, 27.1
2018, 31.8
2019, 21.7
2020, 16.9
 
