№партии,к стали,с подплавл,в нахлест
п050516,26.8,24.8,28
п050516,24.8,24,23.8
п040516,26.4,25.6,24
п050516,29.8,28.8,28
п050516,27.8,26.3,28
п010616,28.4,26.8,27.5
п010616,29.5,27.6,28.3
п080616,28.4,27.3,27.9
п050716,29.6,28.4,28.4
п050716,29.3,27.9,28.4
п050716,29.4,27.9,28.7
п120716,29.2,28.8,28.2
п050716,30.2,29.2,28.8
п120716,30.9,29.8,29.9
п030816,32,31.8,30.4
п040816,34.8,34,30.8
п040816,34.6,35.4,33.8
п130916,30.8,30.4,30.2
п130916,29.8,28.8,28
п011016,28.8,29,28.2
п071016,28.3,26.6,27.9
п051216,28.4,27.3,29.3
п081216,30.4,29.3,30.8
п051216,28,27.1,28.5
п050117,27.4,26.3,27.8
п050117,26.8,25.5,26.6
п050117,27,26.3,27.3
п050117,27.7,25.9,27.9
п050117,27,26.9,27.3
п030217,26.9,26.3,27.5
п040217,28.7,28.3,28.5
п030217,27.7,26.8,28
п090317,28.4,27.2,28.8
п090317,28.3,26.9,28.9
п090317,28.9,28,29.1
п130317,30.9,28.9,30.4
п100417,30.8,28.1,31.9
п100417,29.7,27.4,29
п090417,37.7,35.4,38
п100417,38.8,38,38.6
п070517,29.9,27.4,28.3
п070517,29.3,27.4,26.9
п090517,30,28.3,27.9
п090517,29.3,28.1,28.3
п070517,30.2,28.8,29.4
п070517,27.8,26.9,27.3
п100617,28.4,27.4,28
п030617,40.8,40.1,42
п110617,33.6,32.9,34
п030617,41.6,40.8,42.4
п110617,28.3,27.1,27.9
п010717,29.8,27.6,30.1
п010717,28.6,27.3,29.1
п010717,29.9,27.8,30.8
п010717,30.1,28.8,30.6
п130817,28.9,28.1,29
п130817,28.4,26.4,29
п030917,30,29.1,29.4
п110917,30.2,29.5,29.7
п110917,30.4,29.5,28.3
п110917,28.9,28.1,29.4
п021217,28.9,27.6,29.3
п101217,29.9,28.8,30.1
п090118,34.9,34.1,34.4
п090118,34.5,33.6,33.8
п050218,31.9,30.9,31.3
п040218,26.9,26.1,26.7
п050218,29.1,28.6,28.9
п010318,23.9,23.2,23.7
п020318,25.5,25.1,25.8
п020318,30.4,29.7,30.2
п020418,28.5,27.7,29.1
п020418,30.8,30.1,30.9
п020418,30.4,29.6,30.8
п060418,28.9,28.3,29.1
п020418,29.8,29,29.6
п160418,32.1,31.4,31.6
п160418,32.4,31.8,31.9
п160418,33.6,31.4,34
п160418,33.8,32.3,34.2
п020418,31,30.8,30.8
п010518,28.8,28,29.3
п010518,28.9,28.1,29.3
п060518,31,29.6,30.4
п010518,29,28.3,28.8
п010518,29.1,28.3,29.3
п010518,29.5,27.5,28.7
п060618,27.3,26.5,27.5
п020718,29.7,28.2,29.3
п020718,29.4,28.2,28.6
п030718,31.4,29.7,30
п110718,30.9,29.1,30.6
п020718,29.1,27.9,29.5
п110718,30.4,28.8,29.6
п020718,29.6,28,30.4
п080818,30.7,30,30.1
п080818,26.9,26.6,27.5
п090918,30,29.8,30.3
п090918,31.9,31.7,31.8
п151018,28,27.6,27.8
п101218,30.4,29,30.1
п101218,30.4,29.6,30.8
п090319(14.03.19),31.6,31,31.4
п090319(15.03.19),32.8,30.7,31.9
п090319(18.03.19),32.6,30.4,32.7
п090319(19.03.19),34.7,31.8,35.2
п090319(20.03.19),33.9,31.5,34.4
п100319(22.03.19),30.4,29.7,30.6
п100319(29.03.19),30.4,29.6,31.2
п040519(04.05.19),28.8,27.8,28.2
п050519(05.05.19),32.1,32.9,33.6
п130519(16.05.19),28.8,28,29.5
п130519(20.05.19),29.6,29.4,29.8
п040519(20.05.19),28.2,27.7,28.0
п040519(27.05.19),27.9,27.1,27.7
п130519(27.05.19),29.3,28.4,29.0
п040519(28.05.19),28.2,27.8,28.4
п040519(29.05.19),27.7,27,27.4
п130519(29.05.19),29,28.2,28.8
п060619(06.06.19),29.2,28.3,29.8
п060619(24.06.19),29.2,28.2,29.9
п140619(24.06.19),28,27.4,28.3
п110719(15.07.19),29.7,27.7,29.6
п120719(15.07.19),28.2,26.8,27.7
п110719(22.07.19),29.6,27.7,29.5
п120719(31.07.19),27.8,27.1,27.7
п110719(31.07.19),29.9,29.2,30.4
п141019(24.10.19),29.8,29.1,30.0
п141019(25.10.19),29.7,29.2,29.9
