№партии,к стали,с подплавл,в нахлест
п061117,29.3,27.9,29
п061117,29.9,28.8,29.2
п061117,29,27.9,28.4
п091217,28.6,26.9,27.7
п091217,31.3,29.9,30.8
п040118,30.1,30,30.3
п040118,29.8,28.3,29.5
п040118,29.4,29.1,29.8
п040118,28.9,28.3,29.7
п040118,28.7,28.1,29
п110218,29,28.9,29.2
п030418,29.9,29.1,30
п030418,28.9,28.4,29.3
п040518,35.4,34.9,35.1
п040518,30.9,30.3,31.3
п030618,35.9,35.7,35.7
п030618,35.2,35,35.4
п030618,29.9,28.5,30.4
п080718,32.7,30.9,35
п080718,32,30.4,32.8
п080718,31.2,30.4,32
п080718,29.9,29.3,30.5
п050818,29.9,29.1,30.4
п050818,36.1,35,35.8
п050818,36.8,36,36.7
п050818,36.6,35.8,36.3
п050818,28.9,28,28.3
п050818,29.8,29,29.9
п040918,29.9,29.1,30
п040918,29,29.3,29.2
п020918,29,28.7,28.9
п040918,29.1,28.9,29.3
п040918,29.9,29.1,30
п081018,29,28.2,28.8
п081018,29.1,28.7,29.4
п081018,30.4,29.7,31.2
п081018,27.8,27.3,28
п031118,27.8,27.2,27.5
п031118,27.7,27.2,27.9
п071218,29.3,28.7,29.8
п071218,29,28.8,29.1
п071218,29.2,28.6,29
п071218,28.8,28.2,29
п071218,28.2,29.2,29.8
п010119(09.01.19),28.4,27.8,28.2
п040219(06.02.19),28.1,27.7,28
п040219(07.02.19),27.8,27.1,27.3
п040219(08.06.19),27.8,27.1,27.3
п040219(11.02.19),28.1,27.1,27.9
п040219(12.02.19),27.7,27.5,27.8
п040219(13.02.19),28.3,27.7,28
п040219(14.02.19),28.2,27.9,28.3
п040219(15.02.19),28.4,27,27.6
п040219(19.02.19),27.9,27.2,27.7
п040219(20.02.19),28,27,27.8
п040219(21.02.19),28.3,27.8,28.5
п040219(25.02.19),28,27.6,28.2
п040219(26.02.19),27.9,27.5,28.1
п040219(27.02.19),28,27.7,28.3
п020319(04.03.19),27.7,27.2,27.9
п020319(05.03.19),27.9,27.7,28.1
п020319(06.03.19),28.2,28,28.8
п020319(07.03.19),28,27.2,27.8
п020319(11.03.19),28.8,28.2,28.9
п020319(12.03.19),28.2,28,28.4
п020319(13.03.19),28.9,28.3,28.7
п020319(27.03.19),30.4,29.7,30.6
п040419(02.04.19),29,28.3,29.2
п040419(03.04.19),29.3,28.4,30.1
п040419(04.04.19),29,28.1,29.7
п040419(05.04.19),29.4,28.6,29.9
п040419(13.04.19),32.5,31.9,32.9
п040419(14.04.19),30.3,29.8,30.9
п140519(18.05.19),28.1,27.8,28.3
п140519(26.05.19),27.7,26.8,27.5
п080619(11.06.19),26.8,26.2,27
п080619(13.06.19),26.3,25.4,26.8
п080619(14.06.19),26.1,25.6,26.6
п090619(17.06.19),28.2,26.8,28.8
п090619(26.06.19),27.7,27.1,27.9
п010719(01.07.19),28.8,27.4,29
п010719(02.07.19),28.4,27.1,28.1
п010719(03.07.19),28.2,27,28
п130719(18.07.19),29.4,27.3,29.9
п070819(13.08.19),28.9,29,29.8
п100819(14.08.19),28,27.7,28.4
п070819(20.08.19),28.7,28.2,29
п070819(21.08.19),30,29.2,30.4
п070819(23.08.19),29.8,29,29.2
п070819(26.08.19),28.8,28.2,29
п060919(12.09.19),30,29.2,29.8
п110919(18.09.19),29.9,29.2,30.1
п060919(19.09.19),30,29.4,29.7
п060919(25.09.19),29.4,29,29.8
п061019(03.10.19),29.6,28.8,30.4
п061019(04.10.19),29.7,29,30.6
п061019(23.10.19),33,32.8,33.3
п061019(25.10.19),30.4,29.6,31.2
п061019(29.10.19),28.9,28.7,29
п061019(30.10.19),28,27.2,27.8
п011119(01.11.19),27.9,NaN,28.8
п011119(13.11.19),29.6,NaN,28.8
п011119(27.11.19),30,NaN,29.8
п111219(17.12.19),30.6,NaN,31.4
п021219(19.12.19),30,NaN,29.2
