№партии,к стали,с подплавл,в нахлест
п210112,27.4,21.2,19.3
п210112,27.4,23.4,17.6
п270112,23.4,20.1,17.5
п160212,24.3,20.1,18.8
п030312,25.5,20.3,17.5
п240412,24,20.8,16.8
п250412,22.4,20,15.2
п020512,23.6,20.7,18.4
п020512,23.9,20.9,19.2
п030512,26.2,22.4,18.3
п080612,27.3,24.9,22
п080612,27.8,24.7,22.4
п080612,27.4,25.3,22
п070712,30.4,28,24.2
п070712,29.4,26.5,23
п310712,26.3,23.3,22.9
п150812,10.5,14.7,10.5
п100812,10.6,13.6,13.1
п280812,25.3,23.5,23.2
п040912,28.4,30.5,0
п050912,31.2,25.8,19.6
п061012,33.6,26,20.9
п061012,28.8,23.2,21.6
п071012,27.8,24.8,18.4
п071012,27.2,27.2,24
п011112,29.4,26.2,23.8
п021112,32.4,25.3,24.8
п011212,27.2,23.2,21.6
п021212,26.4,22.4,20.8
п031212,28,24.8,23.2
п100113,26.4,24.8,22.4
п110113,28,25.6,23.2
п210113,20.8,20,16.8
п110113,28,23.2,25.6
п100113,26.4,24.8,22.4
п070213,20.8,20,12
п080213,28,26.4,20.8
п060313,21.6,20,16.8
п060313,24.8,21.6,19.2
п120413,28,27.2,23.4
п070513,24.8,21.8,20.7
п280513,23.3,23.6,21.1
п090513,23.9,21.5,19.6
п070513,24.2,22.1,18.7
п110613,23,21.4,20.2
п110613,24.2,21.4,19.4
п040713,26.1,22.6,25.3
п260613,21.9,20.4,16.7
п040713,26.4,22.3,24.8
п060713,26.9,23.8,27.4
п040713,23.4,23,22.9
п060713,22.2,20.4,20
п040713,20.4,20.8,18.5
п040713,22.5,21,20.2
п040713,21.8,21.2,18.7
п040713,22.1,23.2,20.1
п040713,22.9,20.1,21.8
п040713,22.4,20.4,21
п040713,25.2,23.2,23.6
п040713,26.6,23.8,25.4
п040713,23.6,20.7,22.9
п140114,29.8,28.6,30.2
п140114,29.3,28.2,29.8
п050214,36.2,38.4,29
п050214,36.4,35.5,28.9
п050214,36.2,35.7,29.2
п050214,36.2,35.6,29
п060214,28.2,25.3,27.4
п250314,27,26.8,24.2
п050414,28.9,28.1,26.2
п050414,29,28.3,26.5
п140414,26.2,26.7,27.9
п140414,26.8,27,28.2
п140414,27.3,26.6,27.8
п050414,28.7,28,26.8
п140414,24.2,23.8,21.8
п140414,26.7,27.2,25.2
п140414,26.1,25.8,26.7
п140414,26.4,27,26.4
п050414,28.2,27.2,25.4
п050414,28.1,27.4,25.1
п050514,27.5,27,26.8
п050514,27.8,27.3,27.1
п130514,28.1,27.4,26.2
п130514,27.6,27.1,26.4
п130514,27.4,27.1,24.2
п130514,26.8,26.2,24.3
п020614,25.8,25.1,23.1
п020614,26.4,25.7,24.1
п020614,26.8,25.9,24.3
п020614,26.2,25.4,25.9
п020714,25.3,25.1,24.2
п020714,26.8,26.2,24.3
п020714,25,24.8,23.1
п110814,27.2,25.8,26.9
п110814,27.2,26.5,27.6
п110814,27.1,26.5,27.6
п030914,26.2,25.8,24.1
п030914,26.4,25.8,23.2
п030914,26.1,25.8,23.6
п030914,25.7,25.4,23.1
п030914,25.4,25,23.6
п141014,30.8,29.5,25.2
п141014,29.7,28.5,26.2
п041114,31.7,30.8,28.4
п041114,30.8,29.7,31.2
п051214,27.4,27.8,25.4
п140115,28.4,28,25.1
п140115,29.4,29,24.8
п140115,30.4,29.8,24.5
п160315,29.4,26.2,27.2
п160315,28.7,27.6,27.7
п090415,28.7,28.2,26.5
п090415,28.7,28,25.8
п090415,28.5,28.1,26.2
п040515,28.1,27.9,24.3
п100615,28.3,26.8,28.5
п100615,28.5,27.1,28.7
п220715,28,26.8,25.6
п020815,28.9,27.2,25.6
п020815,28.3,27.4,25.7
п050915,28.6,27.4,25.5
п050915,28.4,27.2,25.8
п050915,28.2,27.6,26.2
п101015,29.4,28.6,26.5
п101015,29.6,28.8,26
п101015,29.9,28.4,30.1
п011115,29.8,28.4,27.9
п011115,30.5,29.3,28.7
п041215,30.2,28.5,29.8
п041215,29.8,27.6,28.4
п041215,28.7,27.4,29
п160416,30.4,29.7,29.3
п160416,29,28.5,28.9
п160416,29.5,27.9,28.3
п160416,30.3,28.5,29.7
п090516,28.8,28,27.2
п090516,30.5,28.6,29.4
п050616,30.3,29.7,29.8
п050616,29.9,28.9,28.4
п030716,29.6,28.4,29.7
п030716,30,29.2,29.4
п120816,28.8,28.2,26.4
п120816,28.9,28,27.2
п120816,28.8,28.2,26.4
п050916,31.2,30.4,30.8
п050916,34.9,33.8,32.8
п051016,29.7,27.6,30.1
п051016,29.9,30.4,29.8
п071116,32,32.8,33.8
п071116,30.4,30.8,31.2
п071116,28.8,27.5,29.2
п031216,29.8,29.6,30.4
п031216,29.9,29.8,30.4
п020217,30.4,28.1,28.9
п040317,28.8,28.1,29
п040317,28.9,28,28.1
п040317,28.7,28.1,28.8
п080417,29.7,28.4,30.1
п030517,30.6,29.2,28.9
п030517,29.7,27.9,28.5
п030517,30.7,27.9,28.8
п050617,30.9,30.2,31.1
п050617,28.8,27.9,28.3
п050617,48.6,45.3,44.3
п050617,53,52.4,50.9
п050617,30.6,29.5,30
п050617,29.7,29.1,29.9
п041017,32.1,31.8,33.4
п041017,27.8,27.1,28
п041017,31.3,30.9,32.2
п061117,30,28.3,29.8
п061117,30.3,28.9,30
п061117,28.9,28.1,29.4
