№партии,к стали,с подплавл,в нахлест
п120818,30.9,30,30.8
п120818,32,31.1,31.8
п030918,31.3,30,31.8
п030918,34.3,34,34.4
п091018,31.7,31.3,32
п101018,33.9,33.3,34.2
п091018,32.9,32.1,32.4
п091018,31,29.8,30.2
п091018,31.2,29.1,31
п091018,30.4,29.4,30
п091118,30.9,30.3,31.4
п031218,31.3,30.8,31.9
п031218,29.7,29.6,30.6
п031218,30.9,30.3,31.2
п070319(14.03.19),32.8,32,32.3
п080719(11.07.19),29.8,28.4,30.6
п030819(07.08.19),33.0,29.8,33.4
п030819(08.08.19),32.9,29.4,33.3
п030819(28.08.19),31.2,31.3,32.0
п030819(29.08.19),32.0,31,31.8
п050919(10.09.19),31.8,31.2,32.0
п050919(11.09.19),32.0,30.4,31.2
п050919(18.09.19),31.8,31.1,31.7
п050919(24.09.19),31.9,31.1,32.0
п050919(27.09.19),29.7,29.1,30.0
п041019(03.10.19),30.4,29.6,31.2
п041019(09.10.19),30.3,29.8,31.8
п041019(29.10.19),29.8,29.4,30.4
п041019(31.10.19),29.8,29,29.4
п041119(06.11.19),29.6,NaN,29.3
п041119(14.11.19),30.4,NaN,29.6
п041119(18.11.19),30.8,NaN,31.0
п041119(25.11.19),30.4,NaN,29.8
п041119(26.11.19),30.2,NaN,29.6
п071219(04.12.19),31.0,NaN,31.2
п071219(06.12.19),32.9,NaN,33.4
п071219(13.12.19),34.1,NaN,34.8
п071219(20.12.19),33.3,NaN,33.2
