№партии,к стали,с подплавл,в нахлест
п070317,30.1,28.4,30.3
п070317,30.1,28.4,30.3
п070317,29.9,28.7,30.3
п070317,30.4,29.8,30.7
п070317,30.5,29.1,30.7
п020417,30.3,29.9,30.5
п020517,31.6,31.0,30.2
п020517,31.7,31.0,30.2
п020517,31.7,29.7,29.4
п020517,31.5,30.5,29.9
п010617,31.5,29.4,29.4
п010617,30.9,29.1,30.0
п010617,30.9,30.1,31.2
п010617,34.0,33.1,34.2
п010617,32.3,31.7,32.5
п010617,34.2,32.2,35.5
п010617,33.0,32.2,32.7
п050717,30.3,28.9,30.9
п050717,34.2,31.6,34.8
п050717,46.4,42.9,48.8
п050717,41.6,38.4,42.4
п040817,48.8,48.0,53.1
п110817,38.8,38.2,38.0
п040817,35.0,32.1,33.8
п040817,34.8,33.4,33.0
п040817,34.3,34.0,33.8
п040917,36.8,35.2,36.0
п040917,32.1,32.4,32.0
п061017,33.8,30.8,32.7
п061017,35.3,33.7,34.8
п061017,29.1,28.8,29.8
п071217,31.7,30.4,32.0
п071217,31.5,30.3,31.9
п121217,32.8,31.3,33.2
п121217,33.6,32.0,33.8
п071217,31.2,30.4,32.0
п071217,31.8,30.0,31.1
п071217,31.1,30.7,31.3
п030118,34.8,30.8,33.3
п060118,32.4,32.0,31.9
п060118,32.8,31.9,33.0
п030118,35.0,34.2,34.6
п060118,32.0,31.6,32.7
п060118,30.1,29.4,29.9
п070218,31.6,31.1,32.0
п070218,32.3,31.1,31.8
п070218,31.7,30.3,31.5
п070218,32.1,31.3,32.0
п040318,30.8,29.8,30.3
п040318,30.8,29.2,30.3
п040318,29.8,29.0,29.3
п040318,30.0,29.7,29.8
п040318,30.4,30.0,30.9
п040318,31.6,30.8,31.1
п040318,30.4,30.0,30.6
п040418,31.0,30.8,31.2
п110418,34.8,34.3,35.4
п040418,31.2,29.6,30.4
п040418,32.9,32.0,33.2
п020518,36.9,36.1,37.1
п020518,37.3,36.8,37.0
п020518,37.0,36.6,36.8
п020518,38.0,37.0,37.8
п020518,38.0,37.0,37.8
п020518,37.7,37.1,38.0
п020518,36.9,36.3,37.1
п020518,31.0,30.4,30.8
п020618,32.2,31.2,32.0
п020618,37.0,36.0,36.6
п020618,36.3,35.3,35.9
п020618,36.8,36.1,37.0
п020618,36.7,36.6,36.9
п020618,31.9,30.8,32.3
п050718,32.2,30.3,32.8
п040718,35.4,34.4,36.0
п050718,31.4,29.9,30.6
п050718,31.5,29.5,30.8
п050718,33.4,32.5,34.8
п050718,33.3,31.7,33.9
п050718,32.6,30.9,33.0
п050718,32.0,31.2,32.8
п050718,31.5,31.2,32.6
п050718,32.1,31.1,31.8
п060818,32.8,31.8,32.2
п060818,38.2,38.0,38.4
п060818,38.0,37.6,37.8
п060818,32.3,32.0,32.8
п060818,33.8,33.0,33.4
п060818,34.0,33.5,34.8
п050918,30.8,30.0,30.6
п050918,32.0,31.4,32.2
п110918,35.9,35.3,36.0
п050918,32.9,32.2,32.7
п050918,31.3,31.0,31.1
п121018,31.6,31.0,31.8
п121018,30.6,29.9,30.9
п121018,28.7,28.0,28.2
п121018,29.9,29.4,30.0
п071118,28.7,27.9,29.4
п071118,30.4,29.5,30.6
п061218,30.6,30.0,30.9
п061218,30.7,29.7,30.9
п061218,30.9,29.6,31.2
п061218,30.4,30.0,30.8
п061218,30.3,29.1,31.1
п061218,31.0,30.1,30.8
п061218,30.4,29.8,30.0
п121218,32.8,32.2,33.0
п061218,30.0,29.2,29.8
п020119(11.01.19),30.8,30,30.4
п020119(14.01.19),31.4,30,31.8
п100119(28.01.19),32.9,32.6,33.3
п100119(29.01.19),33.2,33,34
п010219(04.02.19),30.8,30.3,31
п010219(05.02.19),31,30.1,31.3
п010219(08.02.19),30.4,29.6,31.2
п010219(18.02.19),30.8,30,30.4
п010219(21.02.19),31,29.6,30.4
п010219(22.02.19),30.4,29.6,31.2
п040319(07.03.19),36.4,35.6,37.2
п040319(14.03.19),32.4,32.1,32.9
п040319(20.03.19),34.2,30.9,34.8
п040319(21.03.19),32.6,31.4,32.8
п040319(28.03.19),34.9,34,35.1
п020419(01.04.19),34,33.4,34.6
п020419(05.04.19),31.5,30.5,31.8
п020419(09.04.19),33.3,32.5,33.6
п020419(10.04.19),32.8,32,32.3
п080419(11.04.19),38.8,37.8,38.3
п020419(11.04.19),33,32.8,33.3
п020419(12.04.19),33.3,32.8,33
п160419(22.04.19),35,32.8,34.6
п020419(26.04.19),35.8,35,35.4
п020519(02.05.19),31.8,29.6,30.4
п030519(03.05.19),34.8,34,34.3
п030519(04.05.19),35,34.1,34.4
п030519(06.05.19),33.9,33,33.6
п030519(07.05.19),34.2,33.8,34.6
п030519(08.05.19),34.4,33.7,34.1
п020519(10.05.19),31.9,31.4,32
п030519(10.05.19),35,34.3,35.5
п020519(13.05.19),31.2,30.6,31.5
п020519(17.05.19),30.4,29.2,29.9
п020519(19.05.19),29.9,29.1,30.2
п020519(22.05.19),30.4,29.6,30.8
п010619(05.06.19),28,27.1,27.7
п010619(07.06.19),28.1,27.2,27.9
п010619(21.06.19),28.2,27.1,28.9
п010619(25.06.19),29.4,28.5,29.9
п010619(26.06.19),29.8,28.2,30
п060719(08.07.19),29.7,27.9,30.3
п060719(09.07.19),30.3,28.2,30.7
п060719(12.07.19),29.8,28.4,30.3
п100719(12.07.19),31.7,30.5,31.9
п060719(16.07.19),30.3,28.4,30.8
п060719(17.07.19),30.3,28.4,30.9
п060719(18.07.19),30.8,28.6,30.6
п060719(22.07.19),31.4,30.4,31.7
п060719(25.07.19),31.6,30.3,31.8
п060719(26.07.19),31.5,30.5,31.9
п060719(29.07.19),32.6,31.9,33
п060719(30.07.19),31.7,31.6,32.5
п060719(31.07.19),30.7,29.8,30.8
п060819(08.08.19),32.4,30.8,32.1
п060819(14.08.19),32,30.9,31.6
п060819(26.08.19),32.8,32,33.4
п060819(27.08.19),33.4,33,34.2
