год,показатель(%)
2007, 82.5
2008, 97.3
2009, 96.0
2010, 94.7
2011, 98.7
2012, 100.0
2013, 99.2
2014, 90.4
2015, 91.4
2016, 86.7
2017, 80.0
2018, 100.0
2019, 100.0

