полугодие,показатель(%)
2006, 1.19
2007, 0.50
2008, 0.17
2009, 0.22
2010, 0.51
2011, 0.38
2012, 0.05
2013, 0.29
2014, 0.51
2015, 1.38
2016, 1.31
2017, 0.00
2018, 0.00
2019, 0.3
2020, 0.09
