год,показатель(%)
2007, 4.3
2008, 5.9
2009, 4.1
2010, 4.03
2011, 5.04
2012, 2.62
2013, 2.81
2014, 2.93
2015, 2.90
2016, 2.86
2017, 3.12
2018, 2.04
2019, 4.97
