+----------------+-------------------------+-----------+--------------+-------------+
|   ЛИТКОР-З_газ | №партии                 |   к стали |   с подплавл |   в нахлест |
|            106 | п041213                 |      28.9 |         28.3 |        25   |
|            107 | п090114                 |      27.6 |         27   |        24.7 |
|            108 | п090114                 |      27.8 |         27.2 |        24.8 |
|            109 | п090114                 |      28   |         27.9 |        25.4 |
|            110 | п090114                 |      28.8 |         28.2 |        24.7 |
|            111 | п090114                 |      27.8 |         27   |        25.6 |
|            112 | п310114                 |      28.4 |         27   |        26   |
|            113 | п090114                 |      27.7 |         26.8 |        25.4 |
|            114 | п030214                 |      28.5 |         27.3 |        25.8 |
|            115 | п090214                 |      29.3 |         28.2 |        26   |
|            116 | п040214                 |      28.7 |         28   |        25.6 |
|            117 | п090214                 |      27   |         26.3 |        24.2 |
|            118 | п030214                 |      26.8 |         26.1 |        24.3 |
|            119 | п030214                 |      27.3 |         26.9 |        27   |
|            120 | п090214                 |      28.5 |         27.3 |        27.4 |
|            121 | п030214                 |      26.8 |         26.2 |        24   |
|            122 | п030214                 |      26.7 |         26   |        24.1 |
|            123 | п030214                 |      28.9 |         27.4 |        26.2 |
|            124 | п030214                 |      28.2 |         27   |        25.4 |
|            125 | п030214                 |      27.9 |         26.4 |        24.8 |
|            126 | п010314                 |      26.3 |         25.4 |        24.2 |
|            127 | п010314                 |      25.6 |         25.2 |        21.2 |
|            128 | п010314                 |      27.6 |         25   |        24.3 |
|            129 | п030314                 |      29.3 |         27.8 |        26   |
|            130 | п010314                 |      26.2 |         25.7 |        23   |
|            131 | п030314                 |      28.1 |         26   |        24.8 |
|            132 | п010314                 |      25.7 |         25.1 |        26.4 |
|            133 | п010314                 |      27.6 |         26.4 |        25.2 |
|            134 | пп010314                |      27.2 |         26.5 |        25.4 |
|            135 | п090414                 |      26.7 |         25.8 |        23.2 |
|            136 | п090414                 |      27.6 |         28.7 |        26.9 |
|            137 | п090414                 |      18.2 |         19.4 |        16.6 |
|            138 | п090414                 |      28.2 |         29.4 |        26.6 |
|            139 | п080514                 |      26.2 |         25.4 |        23.1 |
|            140 | п080514                 |      26.5 |         26.8 |        25.1 |
|            141 | п300514                 |      27.4 |         25.8 |        26.7 |
|            142 | п310514                 |      26.2 |         25.2 |        25.8 |
|            143 | п070614                 |      25.6 |         25.1 |        22.4 |
|            144 | п080614                 |      24.5 |         23.9 |        21.8 |
|            145 | п080614                 |      24.2 |         23.8 |        21.1 |
|            146 | п060714                 |      24.2 |         23.6 |        22.1 |
|            147 | п080714                 |      24.6 |         24.2 |        22.3 |
|            148 | п060714                 |      24.1 |         23.8 |        21.6 |
|            149 | п060814                 |      24.6 |         23.7 |        23   |
|            150 | п060814                 |      24.8 |         24.2 |        23.6 |
|            151 | п060814                 |      25.1 |         24.8 |        23.8 |
|            152 | п050914                 |      28.6 |         28.1 |        26.2 |
|            153 | п060914                 |      27.9 |         27.1 |        25.1 |
|            154 | п060914                 |      29.1 |         28.9 |        26.2 |
|            155 | п070914                 |      28.3 |         27.9 |        25.6 |
|            156 | п070914                 |      28.7 |         28.1 |        25.9 |
